Time,Size,Location,County,State,LAT,LON,Remarks,Lat,Lon
1236,125,2 SSW PHIL CAMPBELL,FRANKLIN,AL,3432,8772,UP TO HALF DOLLAR SIZE HAIL WAS REPORTED IN THE BEAR CREEK AREA. (HUN),34.32,-87.72
1328,175,HACKLEBURG,MARION,AL,3427,8783,(BMX),34.27,-87.83
1333,100,3 SE STRICKLER,WASHINGTON,AR,3580,9428,(TSA),35.8,-94.28
1336,150,2 SW PHIL CAMPBELL,FRANKLIN,AL,3433,8773,PING PONG SIZE HAIL WAS REPORTED. (HUN),34.33,-87.73
1342,100,TRUMANN,POINSETT,AR,3567,9052,(MEG),35.67,-90.52
1405,100,5 S CAULKSVILLE,LOGAN,AR,3523,9387,(LZK),35.23,-93.87
1430,100,4 SSW ATHENS,LIMESTONE,AL,3475,8700,ONE INCH HAIL WAS REPORTED. (HUN),34.75,-87
1432,175,HARTMAN,JOHNSON,AR,3543,9362,(LZK),35.43,-93.62
1438,100,HARMONY,JOHNSON,AR,3555,9357,(LZK),35.55,-93.57
1438,175,2 SE HARMONY,JOHNSON,AR,3553,9354,(LZK),35.53,-93.54
1439,100,BLUE SPRINGS,UNION,MS,3440,8887,(MEG),34.4,-88.87
1446,100,N HARVEST,MADISON,AL,3486,8675,QUARTER SIZE HAIL WAS REPORTED. (HUN),34.86,-86.75
1450,175,2 ENE HARVEST,MADISON,AL,3487,8671,GOLF BALL SIZE HAIL WAS REPORTED. (HUN),34.87,-86.71
1505,100,HUNTSVILLE,MADISON,AL,3473,8659,QUARTER SIZE HAIL WAS REPORTED ON PULASKI PIKE. (HUN),34.73,-86.59
1523,100,DOWNTOWN MEMPHIS,SHELBY,TN,3513,9005,QUARTER SIZE HAIL AT JACKSON AND POPE STREET (MEG),35.13,-90.05
1524,175,DOWNTOWN MEMPHIS,SHELBY,TN,3513,9005,HAIL CRACKED A WINDSHIELD IN DOWNTOWN MEMPHIS AREA (MEG),35.13,-90.05
1530,100,2 W BARTLETT,SHELBY,TN,3522,8987,(MEG),35.22,-89.87
1532,175,LURTON,NEWTON,AR,3577,9308,LIMBS ALSO DOWN (LZK),35.77,-93.08
1540,100,BARTLETT,SHELBY,TN,3522,8984,PENNY TO QUARTER SIZE HAIL COVERED THE GROUND. (MEG),35.22,-89.84
1632,100,3 S BIG FLAT,STONE,AR,3596,9240,(LZK),35.96,-92.4
1705,125,STRAWBERRY,LAWRENCE,AR,3597,9132,(MEG),35.97,-91.32
1718,175,1 S BEVERAGE TOWN,VAN BUREN,AR,3547,9263,GOLFBALL HAIL ON CONWAY AND VAN BUREN COUNTY LINE ON HIGHWAY 95. (LZK),35.47,-92.63
1719,100,MOUND BAYOU,BOLIVAR,MS,3388,9073,(JAN),33.88,-90.73
1730,125,POCAHONTAS,RANDOLPH,AR,3626,9097,(MEG),36.26,-90.97
1740,100,MANCHESTER,COFFEE,TN,3547,8608,QUARTER SIZED HAIL REPORTED IN THE CITY OF MANCHESTER. (OHX),35.47,-86.08
1745,100,FAIRDEALING,RIPLEY,MO,3666,9062,(PAH),36.66,-90.62
1745,100,3 WNW DANBURY,STOKES,NC,3643,8026,LARGEST HAIL WAS QUARTER SIZE BUT MOST WAS NICKEL SIZE (RNK),36.43,-80.26
1746,275,POCAHONTAS,RANDOLPH,AR,3626,9097,(MEG),36.26,-90.97
1751,150,3 S TWIN GROVES,FAULKNER,AR,3528,9240,(LZK),35.28,-92.4
1759,100,POPLAR BLUFF,BUTLER,MO,3676,9041,NORTHWEST SIDE OF POPLAR BLUFF AT HIGHWAY 67 AND BARRON ROAD (PAH),36.76,-90.41
1759,100,POPLAR BLUFF,BUTLER,MO,3676,9041,NORTHWEST SIDE OF POPLAR BLUFF (PAH),36.76,-90.41
1800,125,4 WSW BRIDGEPORT,JACKSON,AL,3491,8578,HAIL UP TO HALF DOLLAR SIZE FELL. (HUN),34.91,-85.78
1800,175,FRUITLAND,CAPE GIRARDEAU,MO,3745,8964,(PAH),37.45,-89.64
1800,175,5 N POPLAR BLUFF,BUTLER,MO,3684,9041,(PAH),36.84,-90.41
1806,100,PALMER,GRUNDY,TN,3536,8557,(OHX),35.36,-85.57
1810,100,WAPPAPELLO,WAYNE,MO,3694,9027,AT WAPPAPELLO DAM FROM CORPS OF ENGINEERS (PAH),36.94,-90.27
1815,400,BATESVILLE,PANOLA,MS,3432,8994,(MEG),34.32,-89.94
1818,125,POCAHONTAS,RANDOLPH,AR,3626,9097,(MEG),36.26,-90.97
1825,175,6 E SOUTH PITTSBURG,MARION,TN,3502,8561,(MRX),35.02,-85.61
1830,100,ZALMA,BOLLINGER,MO,3714,9008,DIME TO QUARTER SIZE HAIL (PAH),37.14,-90.08
1840,100,PANGBURN,WHITE,AR,3543,9184,(LZK),35.43,-91.84
1840,175,3 S OXFORD,LAFAYETTE,MS,3432,8953,(MEG),34.32,-89.53
1844,100,1 SW CHATTANOOGA,HAMILTON,TN,3506,8527,(MRX),35.06,-85.27
1852,100,WATERPROOF,TENSAS,LA,3181,9139,(JAN),31.81,-91.39
1854,100,JACKSON,CAPE GIRARDEAU,MO,3738,8965,(PAH),37.38,-89.65
1858,150,JACKSON,CAPE GIRARDEAU,MO,3738,8965,(PAH),37.38,-89.65
1859,100,FRUITLAND,CAPE GIRARDEAU,MO,3745,8964,(PAH),37.45,-89.64
1900,175,FRUITLAND,CAPE GIRARDEAU,MO,3745,8964,(PAH),37.45,-89.64
1903,100,JACKSON,CAPE GIRARDEAU,MO,3738,8965,(PAH),37.38,-89.65
1905,175,4 SW OIL TROUGH,INDEPENDENCE,AR,3559,9151,(LZK),35.59,-91.51
1909,175,OIL TROUGH,INDEPENDENCE,AR,3563,9146,(LZK),35.63,-91.46
1920,100,ALTO PASS,UNION,IL,3757,8932,ON ROUTE 127 IN ALTO PASS (PAH),37.57,-89.32
1920,175,CLEVELAND,BRADLEY,TN,3518,8487,(MRX),35.18,-84.87
1920,175,PORT GIBSON,CLAIBORNE,MS,3196,9098,(JAN),31.96,-90.98
