Time,Speed,Location,County,State,LAT,LON,Remarks,Lat,Lon,,
1200,UNK,ASHLAND,CLAY,AL,3328,8584,NUMEROUS TREES AND POWERLINES DOWN IN AND AROUND ASHLAND. TREE ON HOUSE IN THE SHIREYS MILL COMMUNITY IN ASHLAND. (BMX),33.28,-85.84,,
1200,UNK,LANGSTON,JACKSON,AL,3454,8607,LARGE TREES DOWN ON VEHICLES. TIME ESTIMATED FROM RADAR. POSSIBLE TORNADO. (HUN),34.54,-86.07,,
1202,UNK,3 NNW CENTRE,CHEROKEE,AL,3419,8569,TREES DOWN IN TEH TATES CHAPEL COMMUNITY. (BMX),34.19,-85.69,,
1203,UNK,8 NW PEYTONSBURG,CUMBERLAND,KY,3672,8549,TWO BARNS DOWN. NUMEROUS TREES AND POWERLINES DOWN. TWO TREES DOWN ON HOUSES. NUMEROUS SHEDS DAMAGED. ALL ALONG JUDIO ROAD NEAR THE TOWN OF JUDIO. (LMK),36.72,-85.49,,
1205,UNK,CENTRE,CHEROKEE,AL,3415,8567,A LARGE TREE FELL ON A HOME ALONG HIGHWAY 411 NORTH. ONE PERSON WAS TRAPPED. NUMEROUS TREES DOWN AROUND THE AREA. (BMX),34.15,-85.67,,
1205,UNK,CENTRE,CHEROKEE,AL,3415,8567,A LARGE TREE FELL ON A HOME ALONG HIGHWAY 411 NORTH. ON PERSON WAS TRAPPED. (BMX),34.15,-85.67,,
1205,UNK,ELLISVILLE,CHEROKEE,AL,3406,8561,TREES DOWN BLOCKING HWY 9. (BMX),34.06,-85.61,,
1205,UNK,SECTION,JACKSON,AL,3458,8599,NUMEROUS TREES DOWN BETWEEN SECTION AND MACEDONIA ALONG HIGHWAY 35. TIME ESTIMATED FROM RADAR. (HUN),34.58,-85.99,,
1205,UNK,3 NE HOKES BLUFF,ETOWAH,AL,3403,8583,SOME STRUCTURE DAMAGE REPORTED IN BALLPLAY. ONE PERSON TRAPPED. (BMX),34.03,-85.83,,
1206,UNK,5 ESE CENTRE,CHEROKEE,AL,3411,8559,SIGNIFICANT STRUCTURAL DAMAGE TO NEW BETHEL CHURCH ON HWY 411N. (BMX),34.11,-85.59,,
1208,UNK,5 NE LIVINGSTON,OVERTON,TN,3644,8526,MULTIPLE TREES BLOWN DOWN ON HWY 85. (OHX),36.44,-85.26,,
1215,UNK,8 NE MANCHESTER,COFFEE,TN,3555,8598,TREES BLOWN DOWN ALONG ROCK ROAD AND NEW HOPE ROAD OFF OF HIGHWAY 55 IN SUMMITVILLE AREA. (OHX),35.55,-85.98,,
1217,UNK,CAVE SPRING,FLOYD,GA,3411,8534,FLOYD COUNTY EMA RELAYED A REPORT OF WIDESPREAD TREE DAMAGE NEAR CAVE SPRING IN FLOYD COUNTY. (FFC),34.11,-85.34,,
